,Terms,Frequency
4258,rate,324
3918,peopl,263
1368,death,232
5158,test,226
323,amp,215
3176,mandat,169
1587,dont,150
2596,infect,149
2357,health,139
856,case,136
2020,flu,135
4939,state,134
2455,hospit,129
3588,new,129
4740,shot,127
4379,requir,124
1705,effect,122
2541,immun,122
1491,die,117
3116,low,115
4451,risk,109
5897,year,109
4155,protect,105
4365,report,104
3768,one,103
5625,via,103
3047,like,101
5582,variant,100
4597,say,100
5259,time,98
4745,show,93
2527,ill,93
936,child,91
3567,need,91
1336,data,85
4147,proof,83
4968,still,82
3571,neg,82
4909,spread,81
3217,mask,80
5494,unvaccin,80
5860,would,79
5839,work,78
1597,dose,76
2385,help,75
5096,take,74
3163,make,74
4097,prevent,73
4945,statu,72
2408,higher,71
3853,pandem,71
1987,find,70
2969,last,70
2554,import,69
4979,stop,69
4016,polici,68
5749,week,66
3683,number,66
1827,event,65
1351,day,65
872,caus,65
2996,least,65
4692,sever,65
4168,provid,64
1739,employe,64
2921,know,63
3181,mani,63
2995,learn,63
1412,delta,63
1156,coronaviru,62
5527,use,61
842,card,61
883,cdc,61
1189,counti,60
5646,viru,60
1655,due,59
5699,want,59
3890,patient,57
2121,fulli,57
5840,worker,56
291,also,56
3943,pfizer,56
2120,full,56
5649,visit,56
1826,even,55
4752,sick,55
1190,countri,55
4681,seriou,54
993,clinic,54
5914,your,53
3985,place,53
4924,staff,52
811,call,51
1572,doesnt,51
320,among,50
4180,public,50
2906,kill,50
5824,within,50
2568,includ,49
3088,long,48
2574,increas,48
3508,must,48
507,avail,48
4402,result,47
3246,may,47
1185,count,47
4782,site,47
1734,emerg,47
2197,go,47
1892,factor,47
4558,said,46
1179,could,46
3454,month,46
2218,got,45
4372,republican,45
630,biden,45
5059,surg,45
1865,expert,45
5825,without,44
5287,toll,44
5836,wont,44
4306,reduc,43
3594,news,43
3587,never,43
1770,entri,43
4648,see,43
2922,known,43
1742,end,42
2407,high,42
1816,europ,41
844,care,41
2876,keep,41
