,Terms,Frequency
4173,health,519
1818,child,513
480,age,498
1953,clinic,484
5565,mandat,441
2915,dose,423
6317,new,401
649,amp,400
771,appoint,374
943,avail,363
7037,pfizer,362
7770,requir,355
9007,test,318
1618,case,292
8340,shot,289
7615,receiv,280
6992,peopl,280
8649,state,276
9184,today,270
2265,counti,263
9791,via,263
7587,read,262
7565,rate,253
9834,visit,248
6288,need,244
10238,year,239
4389,hospit,237
6682,one,225
5080,kid,223
9721,variant,219
2223,coronaviru,212
7380,proof,212
5991,moderna,207
4632,inform,205
3554,find,204
3090,effect,202
2600,death,200
1581,card,196
8126,school,196
9154,time,194
5271,learn,192
7142,pm,188
8671,statu,186
8396,site,184
9529,updat,180
7391,protect,178
8344,show,178
2548,data,178
8090,say,177
6845,pandem,176
10153,world,174
6510,novemb,174
3718,free,174
3158,employe,172
6554,ny,172
3752,fulli,171
7748,report,171
9995,week,170
3121,elig,170
7135,plea,169
4542,immun,165
7169,polici,161
2074,commun,157
9895,walgreensduan,155
4613,infect,154
4236,help,153
3314,event,153
3569,first,151
3498,feder,149
5550,make,147
1525,call,142
6657,older,139
2266,countri,138
8120,schedul,136
445,adult,136
10145,worker,136
6043,month,130
6917,patient,130
3751,full,129
7426,public,129
8919,take,128
4912,johnson,127
2937,dr,126
775,approv,124
9523,unvaccin,123
8773,student,122
5121,know,122
6623,offer,121
6866,parent,120
8776,studi,120
6496,nov,119
6335,news,118
7405,provid,118
7496,question,118
1682,cdc,118
2574,day,117
5638,mask,115
2363,covidvaccin,115
6668,omicron,114
8713,still,113
3147,emerg,111
1713,center,110
3481,fda,110
8013,said,110
2322,covid19vaccin,109
3902,go,108
3443,famili,107
5353,like,107
6709,open,106
5905,million,105
9829,viru,105
7193,popul,104
9569,use,104
2684,depart,103
10143,work,103
647,among,103
6291,neg,103
1892,citi,103
597,also,101
4629,info,100
5273,least,100
6019,monday,100
2857,doctor,99
1176,biden,98
4580,includ,98
3639,follow,96
8204,see,96
4394,host,93
7997,safe,92
7305,prevent,91
7861,risk,91
5414,locat,91
3947,govern,91
6094,mrna,91
2049,come,90
4485,id,89
4747,issu,89
4340,holiday,88
4401,hour,87
634,american,87
3093,effort,86
6274,near,86
4588,increas,85
8592,spread,85
932,author,85
705,announc,84
4563,import,84
2754,die,83
6537,number,83
3733,friday,83
6656,old,82
5681,may,81
4678,insur,80
5441,look,80
10113,within,79
9333,tuesday,79
5748,medic,78
4602,individu,78
6226,nation,77
7616,recent,77
2814,disney,77
4178,healthcar,77
3613,florida,77
7119,plan,77
9665,vaccinemand,76
849,ask,76
7631,record,76
8080,saturday,75
6151,must,75
6625,offici,75
1964,close,75
7659,refus,75
2612,decemb,74
8277,sever,74
4036,group,74
3352,exempt,73
392,across,73
6971,pediatr,73
4334,hold,73
9369,two,73
3157,employ,73
9026,thanksgiv,72
7959,rule,72
8647,start,71
3322,everyon,71
8194,second,70
2176,continu,70
8382,sinc,69
434,administr,69
7779,resid,68
5220,last,67
2255,could,67
948,avenu,66
5575,mani,65
2716,detail,65
4917,join,64
1685,cdcgov,64
2959,driver,64
1589,care,63
1790,check,63
9202,tonight,63
1481,busi,63
9264,travel,63
2098,complet,63
2608,dec,63
9943,way,63
5342,licens,62
5390,live,62
2811,diseas,62
10165,would,62
7365,program,62
717,antibodi,62
9200,tomorrow,62
8004,safeti,62
5224,latest,61
4279,high,61
6699,onlin,61
9732,vax,61
5569,mandatori,61
5367,link,61
5045,keep,60
5764,medicin,60
6365,next,60
8293,share,60
7464,put,60
7672,regist,60
8928,talk,59
5650,mass,59
3411,fact,58
9488,unit,58
4113,happen,58
3177,end,58
6372,nh,57
5408,local,57
2277,court,57
9549,urg,57
2810,discus,56
5318,level,56
3319,everi,55
9689,vaccineswork,55
4252,here,55
3214,entri,55
6737,order,54
9910,want,54
369,accord,54
595,alreadi,54
5794,member,54
9139,thursday,54
5261,le,54
4403,hous,53
1223,biotech,53
7809,retweet,53
814,around,53
6901,passport,53
3828,gener,52
9898,walkin,52
5574,manhattan,52
3174,encourag,52
8751,street,52
7847,right,51
7049,pharmaceut,51
7790,respons,51
6233,natur,51
8910,system,51
8257,seri,51
712,answer,51
1729,certif,51
7491,queen,51
8731,stop,50
3368,expert,50
984,back,50
7797,result,50
433,administ,50
2116,concern,49
8840,support,49
2656,delta,49
2760,differ,49
7213,posit,49
2909,door,49
9494,univers,49
1260,block,49
4552,impact,49
3894,global,48
5772,medtech,48
3630,fmrevolut,48
7271,pregnant,48
2509,daili,48
9187,todaysmedicalupd,48
5985,mobil,47
9989,wednesday,47
9123,three,47
7702,releas,47
10269,young,47
3936,got,47
7396,protest,47
1595,caribbean,47
10133,woman,47
3403,face,47
584,allow,47
9982,websit,46
1756,chang,46
3684,found,46
2010,code,46
3313,even,46
745,anyon,46
7038,pfizerbiontech,45
8263,servic,45
470,africa,45
6758,osha,45
362,access,45
5518,made,45
1095,begin,44
7017,person,44
2594,deadlin,44
5246,law,44
9424,uk,44
8519,soon,44
8745,strategi,44
8736,stori,44
2830,district,43
10272,your,43
10114,without,43
1644,caus,43
6624,offic,43
10250,yet,43
10053,white,43
1521,california,43
2473,current,43
8620,staff,42
3860,getvaccin,41
7773,research,41
3620,flu,41
7115,place,41
10045,whether,41
8025,sale,41
4614,infecti,41
6883,part,40
926,austria,40
3942,gov,40
3361,expect,40
8363,sign,40
7359,profession,40
8614,st,40
1417,brooklyn,40
3370,explain,39
452,advers,39
6893,pas,39
3299,europ,39
1399,bring,39
8817,sunday,39
6613,octob,39
10004,welcom,39
8848,sure,38
9276,treatment,38
2783,director,38
