,Terms,Frequency
2855,protect,155
3255,shot,143
204,amp,134
3016,requir,132
2945,receiv,131
395,best,126
2950,recommend,123
2920,rate,121
2670,peopl,118
1605,health,105
642,child,100
3128,safe,96
2161,mask,95
2549,one,90
2025,learn,89
2863,provid,88
685,clinic,87
3600,today,87
1493,good,84
3540,thank,83
736,commun,81
1083,dose,79
1337,find,74
1144,effect,73
3916,way,73
2415,new,70
2850,proof,70
1626,help,67
596,cdc,67
1744,immun,66
3529,test,65
1400,free,64
2134,make,64
3591,time,63
3855,visit,62
1286,famili,60
322,avail,59
827,counti,57
3256,show,55
2139,mandat,54
2696,pfizer,54
1158,elig,54
3742,updat,53
1666,holiday,52
146,age,52
1788,inform,51
3941,well,51
3851,viru,50
397,better,50
1935,keep,49
187,also,48
3934,week,47
3380,state,47
1525,great,47
1782,infect,46
2063,like,46
907,data,45
2302,moderna,44
1681,hospit,44
1761,includ,44
3360,spread,44
3401,still,43
1229,everyon,43
915,day,42
808,coronaviru,42
1413,full,42
1414,fulli,42
2110,love,41
581,case,41
4039,year,41
2645,patient,39
3995,work,39
2402,need,39
1088,dr,39
2538,older,38
1224,even,38
2617,pandem,38
1305,fda,37
566,care,37
783,continu,37
2200,medic,37
254,appoint,36
1342,first,36
3431,studi,36
3808,variant,36
2663,pediatr,36
1951,kid,36
829,countri,36
2029,least,36
2801,pregnant,35
3541,thanksgiv,35
3166,schedul,35
3027,respons,35
1778,indoor,34
2322,month,33
852,covidvaccin,33
2144,mani,32
2396,near,32
3835,via,32
2677,perform,32
2866,public,31
2893,question,31
2521,offer,31
3386,statu,31
3288,site,30
2418,news,30
3487,take,30
3201,see,30
1225,event,30
2751,plea,29
2931,read,29
2361,must,29
1644,highest,28
4044,yet,28
2176,may,28
3012,report,27
2086,locat,27
117,addit,27
1641,high,26
1903,join,26
3759,use,26
2076,live,26
230,antibodi,26
1497,got,26
2261,million,26
3429,student,26
196,american,25
3390,stay,25
542,call,25
3161,say,25
2755,pm,25
2311,monday,25
3067,risk,25
129,adult,25
1755,import,25
1462,getvaccin,25
105,across,25
1764,increas,25
2215,member,24
3227,sever,24
1484,go,24
3408,stop,24
1312,feder,24
608,center,24
1735,im,24
2379,natur,24
1901,johnson,24
3222,servic,23
2816,prevent,23
3921,wear,23
1439,gather,23
3422,strong,23
3679,two,23
598,cdcgov,23
1147,effort,23
4012,would,23
91,access,23
724,come,22
713,colleg,22
470,boost,22
1256,expert,22
3186,season,22
2578,organ,22
369,becom,22
1777,individu,22
1505,govern,22
202,among,21
1609,healthi,21
844,covid19vaccin,21
2561,open,21
1227,everi,21
2404,neg,21
3738,unvaccin,21
