username,location,text,tweet_date,hashtags_extracted,text_cleaned,loc_country
Tim Ludwig 🇺🇸,United States,mRNA COVID-19 Vaccination Increases Endothelial Inflammatory Markers and ACS Risk — Coronavirus Today https://t.co/WZawI8gQEA,2021-11-23 22:50:19+00:00,,mrna covid19 vaccin increas endotheli inflammatori marker ac risk coronaviru today,Unknown
HCPLive,United States,"""Efforts to enhance access to #diabetes care for adults with diabetes and deliver public health messages emphasizing the importance of diabetes management and COVID-19 prevention, including #vaccination, are warranted, especially in younger adults."" 

https://t.co/iDYOnlQon4",2021-11-23 22:40:00+00:00,"diabetes,vaccination",effort enhanc access diabet care adult diabet deliv public health messag emphas import diabet manag covid19 prevent includ vaccin warrant especi younger adult,Unknown
Liberals for Law & Order,United States,"@n_o_n_ya2020 @man_warf @nurse_mdt @SoCalMAEC @EliStrawmanning @ScottAdamsSays “Unvaccinated patients made up 84.2% of COVID-19 hospital admissions. Hospitalization was significantly linked with a lower likelihood of vaccination…”

https://t.co/WopyZj4Vpd",2021-11-23 22:00:44+00:00,,nonya2020 manwarf nursemdt socalmaec elistrawman scottadamssay unvaccin patient made covid19 hospit admiss hospit significantli link lower likelihood vaccin,Unknown
Vaccinate Your Family,United States,"“Here’s Dr. Fauci’s Advice for Avoiding COVID-19 at Thanksgiving Gatherings” - via @SELFmagazine - https://t.co/GzlKUh9PMG
--
#COVID19 #covidvaccine #vaxnews #vaccines #vaccineswork #covid19vaccines #COVID19vaccine #vaccination",2021-11-23 21:53:01+00:00,"covid19,covidvaccine,vaxnews,vaccines,vaccineswork,covid19vaccines,covid19vaccine,vaccination",here dr fauci advic avoid covid19 thanksgiv gather via selfmagazin covid19 covidvaccin vaxnew vaccin vaccineswork covid19vaccin covid19vaccin vaccin,Unknown
Alida#LetsBeatCovid 😷🆘,United States,"@joncoopertweets Yes&gt; the Covid-19 , Delta in not dead we heading to another wave. Please make sure the airline you travel ask for the vaccination cards.
It is not for you , is because there children toddlers getting it now please do",2021-11-23 20:56:02+00:00,,joncoopertweet yesgt covid19 delta dead head anoth wave plea make sure airlin travel ask vaccin card child toddler get plea,Unknown
Warrior Vaccinator 💉Vaccinated AF💉,United States,"Learn how to counter misinformation here. The CDC has a variety of tools and techniques to help improve vaccination uptake in your community.

https://t.co/kGqQA5MPFM https://t.co/1amZSVgJEh",2021-11-23 20:35:25+00:00,,learn counter misinform cdc varieti tool techniqu help improv vaccin uptak commun,Unknown
ASPN,United States,"""Given the increasing number of COVID-19 survivors and the widespread vaccination, myofascial pain syndromes are likely to be on the rise. These newfound myalgias are responsive to TPIs, providing instant and drastic pain relief for patients"" #ASPNAbstracts @StonyBrookMed #30 https://t.co/qxuaxmb3MZ",2021-11-23 20:20:00+00:00,aspnabstracts,given increas number covid19 survivor widespread vaccin myofasci pain syndrom like rise newfound myalgia respons tpi provid instant drastic pain relief patient aspnabstract stonybrookm,Unknown
My Vote - My Kids - My Money - Matter,United States,"Mass infection prevention and mass vaccination with leaky Covid-19 vaccines in the midst of the pandemic can only breed highly infectious variants.
Geert Vanden Bossche
https://t.co/ROm24G64Er
u get the oil an minimum wage thing figured out yet https://t.co/SJWBYnVr15 https://t.co/pIojVfOg1g",2021-11-23 19:06:29+00:00,,mass infect prevent mass vaccin leaki covid19 vaccin midst pandem breed highli infecti variant geert vanden bossch u get oil minimum wage thing figur yet,Unknown
Kaiser Permanente,United States,"@Jiu_Jitsu_Paul Hello, Paul, Sorry to hear about your extended wait for the Covid-19 vaccination. We would like to look in to your concerns further. Please DM us your phone number and we will contact you directly. ^Chad https://t.co/RS16yc2Aeo",2021-11-23 17:42:26+00:00,,jiujitsupaul hello paul sorri hear extend wait covid19 vaccin would like look concern plea dm u phone number contact directli chad,Unknown
Threella,United States,"Studio City, Santa Clarita Among COVID Hotspots Despite High Vaccination Rates – CBS Los Angeles https://t.co/92hboTsgKY‼️‼️‼️ 😷😷✋🏽🧼🤚🏽⬅️6FT➡️GET VACCINATED💉and/or BOOSTER💉 and FLU💉🙏🏽🙏🏽 BE SAFE‼️‼️‼️",2021-11-23 16:42:33+00:00,,studio citi santa clarita among covid hotspot despit high vaccin rate cb lo angel 6ftget vaccinatedandor booster flu safe,Unknown
