username,location,text,hashtags,tweet_date
JulesUSA,Good Ole' USA,The governor of Kansas has said she intends to sign a measure that will force businesses that require COVID-19 vaccination to give broad exceptions to workers who don’t want to get the vaccine.https://t.co/vP4CV50CFW,[],2021-11-23 23:59:51+00:00
William Behan,Dublin,"@BillyRalph Ahem.

Sorry to spoil the party but your timeline seems to correspond with a late starting but eventually rapid rollout of the national vaccination program: https://t.co/1nME99zYZ7",[],2021-11-23 23:59:32+00:00
"Jason Lay MBA, MEd",,"@OttawaDaddy @Anniekidder @KarenLeis3 @kraekerc @JacquieAMiller @lauramccoy01 @berylrcohen @danrosenbergnet @CooganatWindrun @DaddabboM @mariann6668 @josanchez65 @jhengstler @ESL_fairy @TLMarkides @mrfusco @mkbtuc @jdouglaslittle @BonitaEdu @the_dramamama @ZackTeitel @JBradshaw01 @BBFarhadi @PowerLrn @DrLauraPinto @munakadri @JCasaTodd @RamonaMeharg @rolandvo @heidi_allum @sarahsanders33 @CoachJCummings @CarolCampbell4 @Educhatter @Stephen_Hurley @BallantyneCW @aegrant100 @realJ_Mitchell @bizEducator @kayuoit @liberal_party @jm_mcgrath @fordnation @Sflecce @acampbell99 @OntarioPCParty @AndreaGrebenc @pfizer @carlyweeks @JohnTory Parents can start booking shots for children aged five to 11 at 8 a.m. Tuesday through the COVID-19 vaccination portal or at pharmacies that offer vaccinations . To book an appointment, children must be turning five by the end of 2021. #onted https://t.co/a6D6vTaWoI","[{'text': 'onted', 'indices': [873, 879]}]",2021-11-23 23:58:54+00:00
Caro Ès,"Paris, France",@DrKateWhite The CDC study referenced in this article does not include info about vaccination.  What percentage of the stillbirths were among vaccinated women?  We know these Covid-19 vaccines are non-sterilising and do not prevent infection or transmission. https://t.co/FlnA1A5r7E,[],2021-11-23 23:58:34+00:00
Neglected Global Diseases Initiative at UBC,,@RealClearHealth In response to concerns about this article. Dr. Wasan and the NGDI UBC supports Vaccination as a response to COVID 19 and next week NGDI is hosting a symposium on COVID-19 and the use of vaccines as a strategy (speaker Dr. Pieter Cullis) @VanProstateCtr,[],2021-11-23 23:57:32+00:00
NYC Consumer and Worker Protection,"New York, NY","Parents: Make sure your child is #vaccinated against #COVID19! Getting vaccinated is the BEST protection against getting severely sick or having long-term complications from COVID-19 illness. 
Find a vaccination site near you: https://t.co/XjVlPov8q0 https://t.co/73B7yemd3l","[{'text': 'vaccinated', 'indices': [33, 44]}, {'text': 'COVID19', 'indices': [53, 61]}]",2021-11-23 23:57:12+00:00
Dr Arnab Mandal,A gig near you soon I hope,There used to be no significant difference in flu vaccination rates between democrats and republicans pre covid-19 pandemic and now the difference is ~25% (the difference for covid vaccination is ~30%).  https://t.co/HiDnxYVsxr,[],2021-11-23 23:56:06+00:00
Global Montreal,Montreal,UPDATE: Upwards of 80K appointments booked as Quebec opens COVID-19 vaccination for kids 5 to 11 https://t.co/wF5ncQhqyA,[],2021-11-23 23:56:04+00:00
Bellevue Patch,"Bellevue, WA","All county-operated COVID-19 vaccination sites will be closed for the holiday, and just one will be open on Friday. Here's what to know. https://t.co/1EJgJXyJBk",[],2021-11-23 23:55:51+00:00
#rivercountrynews.com,"Tappahannock, VA",Three Rivers Health District Covid 19 Vaccination Status https://t.co/olwJUpXZRj,[],2021-11-23 23:55:33+00:00
Hamish McGowan,Australia,COVID-19 vaccination no silver bullet with Western WHDS Vic confirming that 14 double vaccinated people caught COVID at a country music concert for vaccinated patrons only. Will Aust head the same way as Europe? https://t.co/ka6Ksf4SHo,[],2021-11-23 23:54:53+00:00
